Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp1	2019-12-09 07:45:48	30	8	10	1.5166666666666666	47	0.42	28	8	5	7.60	4	12	5	25.066666666666666	6.066666666666666	14.766666666666667	0.7533333333333333	0.05	58	540
psp2	2019-12-09 07:45:49	30	9	2	1.4833333333333334	49	0.40	24	17	4	20.00	20	20	5	26.6	7.266666666666667	15.4	0.7533333333333333	0.05	92	599
psp3	2019-12-09 07:45:50	30	8	6	1.3833333333333333	39	0.42	28	5	5	6.00	4	12	5	22.366666666666667	6.7	11.7	0.7533333333333333	0.05	74	433
psp4	2019-12-09 07:45:50	30	8	9	1.5166666666666666	47	0.40	28	10	5	6.80	4	14	5	26.133333333333333	6.233333333333333	14.266666666666667	0.7533333333333333	0.05	71	533
psp5	2019-12-09 07:45:51	30	8	4	1.5833333333333333	54	0.43	25	19	5	12.80	6	20	5	25.133333333333333	6.366666666666666	18.033333333333335	0.7533333333333333	0.05	67	626
psp6	2019-12-09 07:45:52	30	5	7	1.4166666666666667	45	0.37	23	16	3	12.67	8	20	5	23.866666666666667	6.0	14.266666666666667	0.7533333333333333	0.05	56	492
psp7	2019-12-09 07:45:52	30	9	3	1.5666666666666667	54	0.41	24	8	3	15.33	6	20	5	28.0	6.633333333333334	15.933333333333334	0.7533333333333333	0.05	104	635
psp8	2019-12-09 07:45:53	30	7	2	1.4166666666666667	45	0.41	24	9	4	7.00	4	12	5	26.8	6.833333333333333	15.6	0.7533333333333333	0.05	73	548
psp9	2019-12-09 07:45:53	30	9	9	1.7833333333333334	65	0.38	25	10	4	11.00	6	16	5	28.3	7.266666666666667	16.2	0.7533333333333333	0.05	84	608
psp10	2019-12-09 07:45:54	30	1	7	1.1	29	0.30	17	6	2	11.00	6	16	5	27.8	7.566666666666666	17.2	0.7533333333333333	0.05	77	582
psp11	2019-12-09 07:45:54	30	4	1	1.3	40	0.38	21	10	1	20.00	20	20	5	25.9	7.066666666666666	17.633333333333333	0.7533333333333333	0.05	100	640
psp12	2019-12-09 07:45:55	30	2	5	1.1666666666666667	33	0.33	18	13	2	12.00	4	20	5	25.466666666666665	6.833333333333333	14.566666666666666	0.7533333333333333	0.05	100	520
psp13	2019-12-09 07:45:55	30	3	10	1.2833333333333334	40	0.30	17	4	3	6.00	4	8	5	27.833333333333332	7.533333333333333	19.866666666666667	0.7533333333333333	0.05	73	687
psp14	2019-12-09 07:45:56	30	5	7	1.4666666666666666	49	0.37	21	11	4	9.50	4	16	5	24.566666666666666	6.1	14.9	0.7533333333333333	0.05	75	575
