Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp1	2019-10-22 17:30:01	20	5	1	1.475	35	0.38	9	11	2	10.00	8	12	5	25.05	6.1	15.1	0.75	0.05	58	369
psp2	2019-10-22 17:30:01	20	3	1	1.3	28	0.40	10	9	2	20.00	20	20	5	28.55	7.9	13.4	0.75	0.05	89	349
psp3	2019-10-22 17:30:02	20	1	1	1.05	19	0.47	10	8	1	18.00	18	18	5	24.85	6.05	14.35	0.75	0.05	39	290
psp4	2019-10-22 17:30:02	20	2	1	1.075	21	0.42	8	7	3	13.33	4	18	5	24.15	6.25	13.2	0.75	0.05	66	301
psp5	2019-10-22 17:30:02	20	7	3	1.325	27	0.40	12	8	3	18.00	18	18	5	24.4	6.25	14.2	0.75	0.05	45	331
psp6	2019-10-22 17:30:02	20	3	1	1.25	25	0.41	11	6	1	20.00	20	20	5	26.95	6.9	20.55	0.75	0.05	70	456
psp7	2019-10-22 17:30:02	20	6	8	1.25	24	0.42	12	3	1	14.00	14	14	5	26.1	6.55	17.2	0.75	0.05	38	397
psp8	2019-10-22 17:30:02	20	5	3	1.35	29	0.40	11	8	1	20.00	20	20	5	26.4	6.25	15.5	0.75	0.05	87	377
psp9	2019-10-22 17:30:03	20	2	5	1.2	22	0.39	12	8	5	5.20	4	8	5	22.5	6.7	14.3	0.75	0.05	70	365
psp10	2019-10-22 17:30:03	20	6	4	1.55	38	0.40	10	6	1	8.00	8	8	5	27.95	6.65	15.95	0.75	0.05	79	420
psp11	2019-10-22 17:30:03	20	7	7	1.475	33	0.40	12	3	1	14.00	14	14	5	26.45	6.45	14.3	0.75	0.05	47	340
psp12	2019-10-22 17:30:03	20	5	8	1.425	31	0.42	12	3	1	14.00	14	14	5	25.65	5.95	17.45	0.75	0.05	43	412
psp13	2019-10-22 17:30:03	20	2	7	1.125	19	0.42	12	8	3	18.00	18	18	5	26.65	6.65	16.25	0.75	0.05	80	400
psp14	2019-10-22 17:30:03	20	7	6	1.275	25	0.41	12	7	2	9.00	6	12	5	27.6	7.3	19.3	0.75	0.05	37	408
psp15	2019-10-22 17:30:04	20	3	4	1.275	26	0.46	12	3	1	12.00	12	12	5	24.6	6.3	14.45	0.75	0.05	44	351
psp16	2019-10-22 17:30:04	20	2	7	1.15	23	0.34	8	8	5	6.40	4	10	5	27.95	7.2	19.75	0.75	0.05	85	464
psp17	2019-10-22 17:30:04	20	6	8	1.6	39	0.36	10	4	4	6.00	4	8	5	24.2	6.55	13.0	0.75	0.05	45	323
psp18	2019-10-22 17:30:04	20	6	4	1.375	31	0.41	10	11	4	11.00	4	18	5	23.35	6.15	13.55	0.75	0.05	55	337
psp19	2019-10-22 17:30:04	20	8	1	1.75	45	0.40	10	14	4	17.50	10	20	5	27.15	7.6	16.3	0.75	0.05	62	437
psp20	2019-10-22 17:30:05	20	4	3	1.275	28	0.41	9	5	2	8.00	8	8	5	23.8	6.25	11.85	0.75	0.05	45	293
psp21	2019-10-22 17:30:05	20	6	7	1.525	35	0.41	12	12	2	15.00	10	20	5	28.0	6.85	15.6	0.75	0.05	46	375
psp22	2019-10-22 17:30:05	20	6	1	1.5	35	0.40	11	9	4	13.50	6	16	5	23.0	6.0	13.05	0.75	0.05	63	335
psp23	2019-10-22 17:30:05	20	6	8	1.55	36	0.40	12	8	1	20.00	20	20	5	29.9	7.85	17.9	0.75	0.05	97	477
psp24	2019-10-22 17:30:05	20	6	3	1.3	27	0.41	11	7	3	16.00	16	16	5	28.45	7.75	16.5	0.75	0.05	49	407
psp25	2019-10-22 17:30:06	20	2	5	1.15	23	0.34	8	6	3	13.33	4	18	5	24.7	7.25	16.25	0.75	0.05	36	352
psp26	2019-10-22 17:30:06	20	3	1	1.3	23	0.58	18	3	3	7.33	6	10	5	23.9	6.75	14.75	0.75	0.05	66	357
psp27	2019-10-22 17:30:06	20	6	6	1.625	40	0.40	11	7	1	16.00	16	16	5	23.7	6.3	11.85	0.75	0.05	36	304
psp28	2019-10-22 17:30:06	20	4	1	1.3	31	0.36	6	7	5	5.20	4	8	5	24.5	7.25	16.75	0.75	0.05	53	386
psp29	2019-10-22 17:30:06	20	1	7	1.1	19	0.40	11	5	5	4.40	4	6	5	28.2	7.15	21.85	0.75	0.05	75	500
psp30	2019-10-22 17:30:06	20	2	8	1.225	23	0.43	12	4	3	4.67	4	6	5	24.6	6.1	15.65	0.75	0.05	82	356
psp31	2019-10-22 17:30:07	20	2	6	1.1	19	0.44	11	4	1	8.00	8	8	5	27.85	7.3	17.35	0.75	0.15	57	384
psp32	2019-10-22 17:30:07	20	2	7	1.175	23	0.37	9	5	4	5.00	4	6	5	25.9	6.4	17.0	0.75	0.15	41	373
psp33	2019-10-22 17:30:07	20	6	7	1.55	37	0.40	10	6	2	18.00	18	18	5	26.4	6.55	13.3	0.75	0.15	100	360
psp34	2019-10-22 17:30:07	20	5	8	1.275	25	0.42	12	7	3	20.00	20	20	5	28.05	7.05	17.65	0.75	0.15	64	424
psp35	2019-10-22 17:30:07	20	2	4	1.2	19	0.61	18	5	2	10.00	6	14	5	26.0	6.45	18.75	0.75	0.15	111	463
psp36	2019-10-22 17:30:07	20	6	5	1.475	33	0.40	12	5	4	6.00	4	12	5	24.3	7.0	15.65	0.75	0.15	65	364
psp37	2019-10-22 17:30:08	20	4	7	1.225	23	0.42	12	6	1	14.00	14	14	5	24.05	6.7	12.6	0.75	0.15	76	286
psp38	2019-10-22 17:30:08	20	1	7	1.15	19	0.49	13	2	2	4.00	4	4	5	27.1	7.55	13.65	0.75	0.15	69	328
psp39	2019-10-22 17:30:08	20	3	8	1.35	28	0.40	12	4	2	18.00	18	18	5	27.2	6.8	18.05	0.75	0.15	79	472
psp40	2019-10-22 17:30:08	20	3	2	1.275	27	0.40	10	4	4	5.00	4	8	5	26.95	7.0	13.35	0.75	0.15	73	346
psp41	2019-10-22 17:30:08	20	7	4	1.3	25	0.47	14	9	3	8.67	4	14	5	25.85	6.9	15.1	0.75	0.15	61	322
psp42	2019-10-22 17:30:08	20	4	8	1.25	24	0.44	12	6	2	13.00	10	16	5	23.75	6.1	16.15	0.75	0.15	77	390
psp43	2019-10-22 17:30:09	20	6	7	1.675	42	0.40	10	11	5	7.60	4	12	5	24.85	6.25	16.15	0.75	0.15	47	410
psp44	2019-10-22 17:30:09	20	1	5	1.1	19	0.38	11	5	1	16.00	16	16	5	22.55	6.15	12.6	0.75	0.15	40	289
psp45	2019-10-22 17:30:09	20	5	1	1.425	31	0.41	12	5	2	8.00	4	12	5	26.4	6.95	14.65	0.75	0.15	67	344
psp46	2019-10-22 17:30:09	20	2	7	1.225	23	0.43	12	5	5	5.20	4	10	5	26.75	6.95	16.25	0.75	0.15	46	384
psp47	2019-10-22 17:30:09	20	2	1	1.15	20	0.40	11	8	3	16.00	8	20	5	26.45	6.5	16.85	0.75	0.15	53	383
psp48	2019-10-22 17:30:09	20	6	3	1.225	22	0.48	14	4	4	6.00	4	10	5	26.3	7.3	17.25	0.75	0.15	114	419
psp49	2019-10-22 17:30:10	20	6	1	1.225	26	0.42	9	9	5	5.60	4	12	5	25.6	6.85	14.05	0.75	0.15	56	350
psp50	2019-10-22 17:30:10	20	2	7	1.2	23	0.41	11	3	2	7.00	6	8	5	28.0	7.65	16.8	0.75	0.15	88	386
psp51	2019-10-22 17:30:10	20	4	8	1.45	32	0.40	12	11	5	13.60	4	20	5	24.85	6.85	14.35	0.75	0.15	40	336
psp52	2019-10-22 17:30:10	20	6	7	1.325	28	0.40	11	6	5	4.80	4	8	5	24.05	6.05	12.65	0.75	0.15	53	299
psp53	2019-10-22 17:30:10	20	1	1	1.125	19	0.43	12	6	4	7.00	4	10	5	28.2	7.55	19.5	0.75	0.15	97	451
psp54	2019-10-22 17:30:10	20	3	2	1.4	32	0.40	10	8	4	6.00	4	10	5	25.7	6.1	12.85	0.75	0.15	93	341
psp55	2019-10-22 17:30:11	20	7	1	1.275	26	0.43	11	5	5	5.60	4	8	5	28.35	7.0	20.65	0.75	0.15	76	462
psp56	2019-10-22 17:30:11	20	3	4	1.175	24	0.40	9	5	3	5.33	4	6	5	27.25	6.4	16.0	0.75	0.15	62	364
psp57	2019-10-22 17:30:11	20	5	7	1.45	32	0.40	12	5	4	5.50	4	10	5	29.6	7.5	18.4	0.75	0.15	99	472
psp58	2019-10-22 17:30:11	20	6	5	1.25	24	0.44	12	6	3	5.33	4	8	5	25.4	6.15	15.85	0.75	0.15	35	354
psp59	2019-10-22 17:30:11	20	6	3	1.275	25	0.44	12	6	5	4.80	4	6	5	20.75	5.8	13.45	0.75	0.15	74	339
psp60	2019-10-22 17:30:11	20	2	4	1.35	25	0.61	18	6	1	18.00	18	18	5	24.45	6.05	17.1	0.75	0.15	99	418
psp61	2019-10-22 17:30:12	20	7	6	1.325	27	0.44	11	2	1	16.00	16	16	5	27.7	7.4	18.5	0.75	0.25	51	450
psp62	2019-10-22 17:30:12	20	3	6	1.225	23	0.40	12	8	2	10.00	6	14	5	23.5	5.9	17.3	0.75	0.25	45	374
psp63	2019-10-22 17:30:12	20	5	1	1.275	28	0.40	9	4	3	6.00	4	8	5	26.9	6.75	18.2	0.75	0.25	73	405
psp64	2019-10-22 17:30:12	20	4	5	1.2	24	0.41	10	9	4	16.00	4	20	5	24.9	6.85	16.4	0.75	0.25	65	394
psp65	2019-10-22 17:30:12	20	5	4	1.475	35	0.41	10	4	1	10.00	10	10	5	24.6	6.55	16.15	0.75	0.25	56	400
psp66	2019-10-22 17:30:12	20	7	3	1.45	29	0.58	18	7	2	12.00	4	20	5	26.25	6.8	15.7	0.75	0.25	55	367
psp67	2019-10-22 17:30:13	20	7	7	1.4	30	0.40	12	5	1	10.00	10	10	5	24.3	6.15	14.6	0.75	0.25	30	333
psp68	2019-10-22 17:30:13	20	7	6	1.65	41	0.40	9	9	3	12.67	12	14	5	26.35	6.75	17.05	0.75	0.25	59	420
psp69	2019-10-22 17:30:13	20	1	8	1.1	19	0.36	10	8	1	16.00	16	16	5	25.6	6.45	16.1	0.75	0.25	76	373
psp70	2019-10-22 17:30:13	20	1	7	1.125	19	0.39	12	6	1	16.00	16	16	5	24.15	6.4	16.75	0.75	0.25	58	383
psp71	2019-10-22 17:30:13	20	1	7	1.075	19	0.38	9	4	4	5.00	4	6	5	27.85	7.5	17.6	0.75	0.25	47	397
psp72	2019-10-22 17:30:13	20	4	6	1.325	27	0.40	12	10	2	12.00	4	20	5	24.55	6.3	16.2	0.75	0.25	35	371
psp73	2019-10-22 17:30:14	20	2	1	1.25	24	0.61	15	7	1	20.00	20	20	5	26.6	6.85	14.05	0.75	0.25	49	314
psp74	2019-10-22 17:30:14	20	4	6	1.45	32	0.41	12	8	2	7.00	4	10	5	28.3	7.15	16.2	0.75	0.25	73	407
psp75	2019-10-22 17:30:14	20	2	4	1.175	19	0.64	18	3	2	9.00	4	14	5	24.55	6.45	13.6	0.75	0.25	38	316
psp76	2019-10-22 17:30:14	20	5	3	1.275	27	0.40	10	8	2	20.00	20	20	5	23.95	6.55	14.6	0.75	0.25	55	334
psp77	2019-10-22 17:30:14	20	5	4	1.3	27	0.40	11	8	1	20.00	20	20	5	26.2	6.65	14.05	0.75	0.25	75	351
psp78	2019-10-22 17:30:15	20	6	7	1.7	43	0.40	10	13	3	17.33	12	20	5	24.85	5.85	15.6	0.75	0.25	54	388
psp79	2019-10-22 17:30:15	20	6	2	1.5	35	0.40	11	9	3	14.00	6	18	5	30.95	7.05	21.2	0.75	0.25	47	493
