Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp1	2019-10-22 17:35:12	100	5	9	1.595	124	0.32	221	30	2	20.00	20	20	5	26.59	6.41	16.35	0.75	0.05	215	2025
psp2	2019-10-22 17:35:29	100	10	4	1.83	150	0.39	270	32	2	20.00	20	20	5	25.14	6.41	16.68	0.75	0.05	165	2080
psp3	2019-10-22 17:35:45	100	5	7	1.455	115	0.27	182	39	3	20.00	20	20	5	26.09	7.0	15.67	0.75	0.05	189	1944
psp4	2019-10-22 17:36:04	100	21	20	1.995	149	0.41	309	66	5	20.00	20	20	5	25.93	6.85	16.38	0.75	0.05	223	2190
psp5	2019-10-22 17:36:21	100	19	14	2.015	183	0.36	261	26	2	20.00	20	20	5	25.94	6.78	16.37	0.75	0.05	111	2080
psp6	2019-10-22 17:36:37	100	2	7	1.46	105	0.31	211	25	4	16.50	6	20	5	24.59	6.34	15.07	0.75	0.05	172	1797
psp7	2019-10-22 17:36:57	100	20	12	2.11	192	0.39	282	43	4	20.00	20	20	5	26.87	6.79	16.33	0.75	0.05	140	2060
psp8	2019-10-22 17:37:16	100	25	17	2.015	209	0.29	205	41	4	20.00	20	20	5	25.58	6.46	15.48	0.75	0.05	142	1993
psp9	2019-10-22 17:37:37	100	13	2	1.755	153	0.34	232	48	4	17.50	10	20	5	26.04	6.72	16.35	0.75	0.05	140	2147
psp10	2019-10-22 17:37:54	100	7	4	1.705	133	0.37	255	20	3	16.00	8	20	5	26.82	7.0	17.07	0.75	0.05	247	2119
psp11	2019-10-22 17:38:15	100	19	12	2.21	194	0.41	308	63	5	19.60	18	20	5	25.58	6.69	16.44	0.75	0.05	207	2135
psp12	2019-10-22 17:38:35	100	2	8	1.33	103	0.24	158	46	4	19.00	16	20	5	26.02	6.7	15.77	0.75	0.05	183	1873
psp13	2019-10-22 17:38:51	100	23	21	2.065	199	0.32	237	31	4	20.00	20	20	5	25.03	6.21	15.26	0.75	0.05	127	1968
psp14	2019-10-22 17:39:08	100	11	13	1.61	143	0.26	181	26	4	17.50	14	20	5	25.64	6.95	15.93	0.75	0.05	180	2004
psp15	2019-10-22 17:39:30	100	12	13	1.975	159	0.40	292	68	5	20.00	20	20	5	28.44	7.46	17.04	0.75	0.05	245	2158
psp16	2019-10-22 17:39:46	100	13	18	1.94	160	0.37	274	30	2	20.00	20	20	5	26.23	6.45	17.4	0.75	0.05	184	2136
psp17	2019-10-22 17:40:04	100	3	10	1.48	109	0.34	220	40	4	17.00	12	20	5	26.27	6.95	14.94	0.75	0.05	174	1806
psp18	2019-10-22 17:40:17	100	21	22	1.97	136	0.43	328	47	1	20.00	20	20	5	27.18	6.58	16.14	0.75	0.05	172	2115
