Name:	Time of generation: 	 Number of activities: 	 Number of source activities:	Number of sink activities:	Mean number of non-redundant predecessor nodes:	 Number of non-redundant arcs:	Order strength: 	  Number of redundant arcs:	 Number of max time-lags: 	 Number of cycle structures:	 Mean number of nodes per cycle structure: 	Min number of nodes in a cycle structure:	Max number of nodes in a cycle structure:	Number of resources 	Mean principle resource requirement: 	Mean minimal activity duration: 	 Mean maximal activity duration: 	 Resource factor: 	 Resource strength: 	 Network-based LB: 	 UB on optimal makespan:
psp1	2019-10-22 17:25:15	10	4	2	1.2	12	0.58	4	4	2	14.00	14	14	5	22.8	5.3	13.9	0.76	0.05	46	162
psp2	2019-10-22 17:25:15	10	3	4	1.2	13	0.42	2	4	3	4.67	4	6	5	29.1	6.8	19.0	0.76	0.05	42	213
psp3	2019-10-22 17:25:15	10	3	3	1.25	14	0.44	2	5	1	14.00	14	14	5	23.2	5.8	11.0	0.76	0.05	47	133
psp4	2019-10-22 17:25:15	10	4	2	1.15	12	0.40	2	2	2	4.00	4	4	5	27.4	8.0	17.0	0.76	0.05	27	189
psp5	2019-10-22 17:25:15	10	3	1	1.1	10	0.62	4	3	2	6.00	6	6	5	27.1	6.3	16.6	0.76	0.05	26	176
psp6	2019-10-22 17:25:15	10	2	1	1.15	11	0.64	4	4	1	10.00	10	10	5	32.6	8.9	18.2	0.76	0.05	52	215
psp7	2019-10-22 17:25:15	10	3	4	1.2	13	0.47	2	2	1	4.00	4	4	5	24.1	6.3	16.8	0.76	0.05	34	190
psp8	2019-10-22 17:25:15	10	3	3	1.1	11	0.45	2	3	3	4.00	4	4	5	22.3	5.9	15.1	0.76	0.05	30	158
psp9	2019-10-22 17:25:15	10	4	1	1.25	15	0.40	1	2	2	4.00	4	4	5	22.3	6.3	13.4	0.76	0.05	22	144
psp10	2019-10-22 17:25:15	10	3	2	1.15	12	0.40	2	4	1	10.00	10	10	5	24.1	5.6	16.6	0.76	0.05	48	198
psp11	2019-10-22 17:25:16	10	2	3	1.05	10	0.40	2	3	3	4.67	4	6	5	25.5	6.1	19.6	0.76	0.05	40	216
psp12	2019-10-22 17:25:16	10	3	3	1.2	13	0.40	2	2	2	5.00	4	6	5	24.4	6.4	14.8	0.76	0.05	30	165
psp13	2019-10-22 17:25:16	10	3	1	1.15	13	0.40	1	4	1	6.00	6	6	5	25.2	6.2	14.2	0.76	0.05	24	153
psp14	2019-10-22 17:25:16	10	2	2	1.15	13	0.47	1	3	2	4.00	4	4	5	23.1	5.9	12.0	0.76	0.05	26	136
psp15	2019-10-22 17:25:16	10	4	2	1.25	14	0.42	2	4	4	4.00	4	4	5	28.5	8.0	16.2	0.76	0.05	34	181
psp16	2019-10-22 17:25:16	10	4	2	1.0	10	0.49	1	4	1	10.00	10	10	5	28.8	7.5	18.1	0.76	0.05	70	214
psp17	2019-10-22 17:25:16	10	4	1	1.3	15	0.40	2	5	3	6.67	4	8	5	27.2	6.7	10.3	0.76	0.05	39	129
psp18	2019-10-22 17:25:16	10	2	2	1.2	12	0.56	4	3	2	6.00	4	8	5	22.7	5.4	18.8	0.76	0.05	39	209
psp19	2019-10-22 17:25:16	10	1	3	1.05	9	0.62	4	4	1	16.00	16	16	5	25.1	6.4	11.5	0.76	0.05	47	126
psp20	2019-10-22 17:25:16	10	1	3	1.0	9	0.42	2	3	2	4.00	4	4	5	28.1	6.7	16.9	0.76	0.05	54	189
psp21	2019-10-22 17:25:16	10	1	1	1.0	9	0.47	2	3	2	5.00	4	6	5	26.9	6.2	19.0	0.76	0.05	40	212
psp22	2019-10-22 17:25:16	10	2	3	1.15	12	0.45	2	2	2	4.00	4	4	5	23.5	6.3	11.0	0.76	0.05	68	155
psp23	2019-10-22 17:25:16	10	4	4	1.45	19	0.40	1	4	2	12.00	12	12	5	28.7	6.4	12.4	0.76	0.05	31	152
psp24	2019-10-22 17:25:16	10	4	4	1.4	17	0.42	2	3	1	8.00	8	8	5	23.2	5.9	13.7	0.76	0.05	27	169
psp25	2019-10-22 17:25:16	10	2	1	1.15	13	0.36	1	4	3	4.67	4	6	5	27.4	5.9	18.5	0.76	0.05	37	214
psp26	2019-10-22 17:25:16	10	2	2	1.2	13	0.40	2	2	1	4.00	4	4	5	24.6	6.4	13.0	0.76	0.05	23	151
psp27	2019-10-22 17:25:16	10	2	2	0.95	9	0.47	1	2	1	8.00	8	8	5	32.2	8.5	20.6	0.76	0.05	69	252
psp28	2019-10-22 17:25:16	10	3	4	1.1	11	0.47	2	2	2	6.00	4	8	5	25.5	7.0	13.5	0.76	0.05	48	176
psp29	2019-10-22 17:25:16	10	3	2	1.2	12	0.64	4	3	1	14.00	14	14	5	24.1	6.7	12.4	0.76	0.05	51	144
psp30	2019-10-22 17:25:16	10	1	1	1.05	9	0.67	4	2	2	6.00	4	8	5	24.8	7.1	13.8	0.76	0.05	73	174
psp31	2019-10-22 17:25:16	10	2	1	1.05	11	0.47	1	4	3	4.67	4	6	5	24.6	6.2	14.0	0.76	0.15	45	164
psp32	2019-10-22 17:25:16	10	4	4	1.35	15	0.40	2	3	3	4.00	4	4	5	26.5	7.7	17.7	0.76	0.15	49	241
psp33	2019-10-22 17:25:16	10	2	4	1.05	9	0.53	4	2	1	4.00	4	4	5	26.1	6.6	16.9	0.76	0.15	46	186
psp34	2019-10-22 17:25:16	10	4	2	1.35	16	0.40	2	3	2	4.00	4	4	5	26.0	6.1	14.9	0.76	0.15	34	184
psp35	2019-10-22 17:25:16	10	3	2	1.1	11	0.42	2	3	2	5.00	4	6	5	19.6	4.9	10.0	0.76	0.15	29	110
psp36	2019-10-22 17:25:16	10	3	1	1.0	10	0.42	1	3	2	6.00	4	8	5	22.9	6.1	14.0	0.76	0.15	16	141
psp37	2019-10-22 17:25:16	10	4	1	1.35	16	0.40	2	3	3	4.67	4	6	5	23.0	5.6	16.5	0.76	0.15	24	186
psp38	2019-10-22 17:25:16	10	4	3	1.15	12	0.40	2	4	1	10.00	10	10	5	28.0	8.6	15.6	0.76	0.15	30	159
psp39	2019-10-22 17:25:16	10	4	3	1.35	16	0.40	2	4	2	6.00	4	8	5	21.3	5.5	13.1	0.76	0.15	37	152
psp40	2019-10-22 17:25:16	10	1	2	1.0	9	0.31	2	2	2	4.00	4	4	5	27.1	6.8	21.1	0.76	0.15	31	228
psp41	2019-10-22 17:25:16	10	3	1	1.15	13	0.40	1	4	2	5.00	4	6	5	25.3	6.8	14.5	0.76	0.15	28	184
psp42	2019-10-22 17:25:16	10	2	1	1.1	11	0.49	2	3	3	4.67	4	6	5	26.7	6.5	15.7	0.76	0.15	25	170
psp43	2019-10-22 17:25:16	10	2	4	1.1	11	0.42	2	3	1	12.00	12	12	5	23.6	6.1	13.2	0.76	0.15	27	152
psp44	2019-10-22 17:25:16	10	3	1	1.15	13	0.42	1	3	1	6.00	6	6	5	28.7	6.5	13.9	0.76	0.15	36	183
psp45	2019-10-22 17:25:16	10	2	3	1.05	10	0.42	2	4	1	6.00	6	6	5	22.5	5.4	15.9	0.76	0.15	39	183
psp46	2019-10-22 17:25:16	10	2	3	1.0	9	0.56	3	1	1	8.00	8	8	5	26.6	7.4	14.8	0.76	0.15	55	176
psp47	2019-10-22 17:25:17	10	4	4	1.25	14	0.40	2	3	2	5.00	4	6	5	25.6	6.7	14.7	0.76	0.15	24	166
psp48	2019-10-22 17:25:17	10	1	4	1.0	9	0.40	2	4	2	7.00	4	10	5	21.1	5.8	14.5	0.76	0.15	36	152
psp49	2019-10-22 17:25:17	10	1	3	1.0	9	0.42	2	2	1	4.00	4	4	5	25.2	5.4	19.4	0.76	0.15	30	207
psp50	2019-10-22 17:25:17	10	3	4	1.15	12	0.42	2	2	2	4.00	4	4	5	22.3	6.5	13.0	0.76	0.15	41	164
psp51	2019-10-22 17:25:17	10	2	2	1.05	10	0.40	2	3	1	8.00	8	8	5	23.0	6.7	11.9	0.76	0.15	54	146
psp52	2019-10-22 17:25:17	10	2	1	1.05	9	0.55	4	2	2	5.00	4	6	5	25.3	6.4	16.4	0.76	0.15	42	187
psp53	2019-10-22 17:25:17	10	1	2	0.95	9	0.44	1	2	2	5.00	4	6	5	22.7	5.7	12.6	0.76	0.15	28	135
psp54	2019-10-22 17:25:17	10	1	4	1.0	9	0.35	2	3	2	5.00	4	6	5	23.6	5.8	9.9	0.76	0.15	45	124
psp55	2019-10-22 17:25:17	10	1	1	0.95	9	0.56	2	1	1	6.00	6	6	5	28.2	8.1	18.8	0.76	0.15	53	196
psp56	2019-10-22 17:25:17	10	1	2	1.05	9	0.65	4	3	1	6.00	6	6	5	27.6	7.1	21.0	0.76	0.15	56	218
psp57	2019-10-22 17:25:17	10	2	2	1.05	10	0.64	3	4	1	12.00	12	12	5	24.9	5.9	16.3	0.76	0.15	57	186
psp58	2019-10-22 17:25:17	10	1	4	1.0	9	0.40	2	2	1	10.00	10	10	5	27.7	7.3	18.4	0.76	0.15	35	203
psp59	2019-10-22 17:25:17	10	1	4	1.0	9	0.47	2	4	1	6.00	6	6	5	25.1	7.1	14.8	0.76	0.15	56	165
psp60	2019-10-22 17:25:17	10	3	3	1.15	12	0.40	2	4	4	4.00	4	4	5	30.7	8.3	29.0	0.76	0.15	64	319
